"nome","resumo","coordenador"
"ESTUDO DA VULNERABILIDADE DO LITORAL DO ESTADO DO RIO DE JANEIRO FRENTE A EVENTOS EXTREMOS COM FOCO NO DESENVOLVIMENTO DA ECONOMIA AZUL","Na faixa costeira fluminense ocorre o desenvolvimento da indústria do petróleo turismo pesca serviços de transporte marítimo e sítio das cidades. é flagrante a percepção que a faixa costeira fluminense vem enfrentando crescentes ameaças climáticas que ameaçam a segurança e a viabilidade da economia azul. O estudo pretende avaliar a vulnerabilidade de trechos do litoral do rio de janeiro em função das ameaças climato-oceanográficas fragilidades ambientais e exposição social.","David Man Wai Zee"
"INTRODUÇÃO AO CÁLCULO DIFERENCIAL INTEGRAL E NUMÉRICO COM AUXÍLIO DE SOFTWARES ","O trabalho proposto tem por objetivo realizar uma introdução ao cálculo diferencial integral e numérico para estudantes do ensino médio com o uso de softwares. Devido à grande dificuldade enfrentada pelos estudantes nestas disciplinas os índices de reprovação são frequentemente altos resultando em um desinteresse pelo curso. Assim justificamos a relevância de nossa proposta de icjr ao considerar como aspecto principal a importância de introduzir esses conteúdos ainda no ensino médio. ","Diego Soares Monteiro Da Silva"
"FÍSICA DE SABORES PESADOS JUNTO AO EXPERIMENTO CMS","O projeto tem como foco a introdução aos principais conceitos relativos à física experimental de altas energias. Ao longo dos 3 anos de ic o(a) aluno(a) deverá adquirir bases sólidas em teoria de física de partículas e técnicas avançadas de análise de dados dos experimentos situados no centro europeu para a pesquisa nuclear (cern) do qual o orientador é membro.","Diego Torres Machado"
"MUDANÇAS CLIMÁTICAS GLOBAIS NO HOLOCENO TARDIO","Projeto visa contribuir para o conhecimento dos processos oceanográficos na plataforma continental na região de abrolhos-ba a partir da identificação e quantificação de foraminíferos bentônicos presentes em amostras de sedimentos armadilhados coletados em escala mensal ao longo de dois anos naquela região. As amostras foram obtidas por meio de armadilhas sedimentares instaladas em locais estratégicos da na região de abrolhos.","Elaine Alves Dos Santos"
"FABRICAÇÃO ARTESANAL DE COSMÉTICOS AMBIENTALMENTE AMIGÁVEIS NO CAP-UERJ","O projeto objetiva apresentar a química como um instrumento para entender melhor o mundo que vivemos contribuindo para formação de cidadão crítico e consciente capaz de intervir na sociedade de forma positiva. Além disso o aluno terá contato com experimentação que auxiliará na criação de um ambiente lúdico que desperta a curiosidade e incentiva o pensamento dedutivo. Terá a oportunidade de produzir cosméticos de forma artesanal e participar em atividades científicas.","Elizabeth Teixeira De Souza"
"IMAGENS CIENTÍFICAS  O PROCESSAMENTO DE IMAGENS PARA ANÁLISE QUANTITATIVA","Este projeto pretende aplicar técnicas de processamento de imagens para análise quantitativa utilizando imagens obtidas por diferentes tecnologias e em diferentes escalas. O produto envolve o conteúdo de divulgação científica que relaciona o processo de obtenção da imagem as aplicações tecnológicas do objeto mensurado e as técnicas utilizadas. A análise quantitativa utiliza operações algébricas através de softwares para extrair e quantificar informações de imagens digitais. ","Elizandra Martins Silva"
"MÉTODOS PARA ACELERAR O ALGORITMO DOOMSDAY","O algoritmo doomsday é uma regra desenvolvida pelo matemático britânico jonh conway (1937-2020) como uma tentativa de superar essas dificuldades. Nosso objetivo não é apenas descrever os detalhes do algoritmo doomsday e os seus aprimoramentos conhecidos mas também desenvolver novos métodos para aprimorar a implementação do cálculo do algoritmo doomsday para um ano arbitrário.","Fábio Silva De Souza"
"O SISTEMA DE ARCOS MAGMÁTICOS INTERNO (IMAS): UMA INVESTIGAÇÃO GEOQUÍMICA E GEOCRONOLÓGICA EM ROCHAS GRANULÍTICAS DE ALTO GRAU METAMÓRFICO","O projeto de ic visa capacitar alunos na sistemática de coleta processamento e interpretação de dados geológicos de alto grau metamórfico. Utilizando metodologias geocronológicas vanguardistas para contribuir com a evolução geodinâmica do imas no terreno central do sistema orogênico ribeira-araçuaí. O projeto consolidará estudos recentes do grupo let-tektos sobre a evolução tectônica do imas e do terreno central com apoio de laboratórios multiusuários da uerj e de instituições parceiras","Felipe Corrales Fernandez Pereira"
"DEMONSTRAÇÕES MATEMÁTICAS: MÉTODOS E EXEMPLOS","As demonstrações são a base de qualquer teoria matemática garantindo a validade dos resultados. Contudo compreender e escrever demonstrações é um desafio especialmente para estudantes. Este projeto tem como objetivo estudar os conceitos de lógica matemática e os principais métodos de demonstração utilizados para provar teoremas e propriedades. Através deste estudo espera-se contribuir significativamente para a formação acadêmica e futura carreira do discente participante.","Fernanda Pereira Rodrigues"
"MODELAGEM DO CRESCIMENTO DE MICRORGANISMOS EM SUCOS NATURAIS","Estudar o crescimento microbiológico de bactérias responsáveis por surtos de infecções alimentares em sucos naturais. As curvas de crescimento serão obtidas por meio de três técnicas e em seguida serão ajustadas por modelos cinéticos visando obter o modelo que melhor avalie a taxa de crescimento do microrganismo nas três metodologias propostas. Além de avaliar parâmetros físico-químico de cada fruta visando correlacionar os parâmetros físico-químicos com o crescimento microbiano.","Fernanda Romanholi Pinhati"
